#     #     #F746ZG      F446ZE        F303ZE         H743ZI
#     #     #F767ZI      F722ZE
Z8    01    NC
Z8    03    3.3VREF
Z8    05    RESET
Z8    07    3.3V
Z8    09    5V
Z8    11    GND
Z8    13    GND
Z8    15    VIN
Z8    02    @PC8
Z8    04    @PC9
Z8    06    @PC10
Z8    08    PC11
Z8    10    @PC12
Z8    12    @PC11        PD2            PD2           PD2
Z8    14    PG2
Z8    16    PG3
Z9    01    @PA3
Z9    03    @PC0
Z9    05    @PC3
Z9    07    @PF3                        PD11
Z9    09    PF6/PB9(1)  PF5/PB9(1)     PD12/PB9(1)   PF5/PB9(1)
Z9    11    PF10/PB8(1)                PD13/PB9(1)   PF10/PB8(1)
Z9    13    NC                         PA1
Z9    15    NC                         PA7(2)        PA7(2)
Z9    17    @PF2                        PA8
Z9    19    PF1                        PA9
Z9    21    @PF0                        PA10
Z9    23    GND
Z9    25    @PD0
Z9    27    @PD1
Z9    29    PG0
Z9    02    @PD7
Z9    04    @PD6
Z9    06    @PD5
Z9    08    @PD4
Z9    10    @PD3
Z9    12    GND
Z9    14    PE2(2)
Z9    16    @PE4
Z9    18    @PE5
Z9    20    @PE6
Z9    22    @PE3
Z9    24    PF8
Z9    26    @PF7
Z9    28    PF9
Z9    30    PG1
Z7    01    @PC6
Z7    03    @PB15
Z7    05    @PB13                                     PB13(4)
Z7    07    @PB12
Z7    09    @PA15
Z7    11    @PC7
Z7    13    @PB5
Z7    15    PB3
Z7    17    @PA4
Z7    19    @PB4
Z7    02    @PB8
Z7    04    @PB9
Z7    06    AREF
Z7    08    GND
Z7    10    @PA5
Z7    12    @PA6
Z7    14    @PA7/PB5(1)
Z7    16    @PD14
Z7    18    @PD15
Z7    20    @PF12
Z10   01    @AVDD
Z10   03    @AGND
Z10   05    GND
Z10   07    @PB1
Z10   09    @PC2
Z10   11    @PF4
Z10   13    @PB6
Z10   15    @PB2
Z10   17    GND
Z10   19    @PD13                       PF10
Z10   21    @PD12                       PF5
Z10   23    @PD11                       PF3
Z10   25    PE2(2)
Z10   27    GND
Z10   29    @PA0
Z10   31    @PB0
Z10   33    @PE0
Z10   02    @PF13
Z10   04    @PE9
Z10   06    @PE11
Z10   08    @PF14
Z10   10    @PE13
Z10   12    @PF15
Z10   14    PG14                       PC4
Z10   16    PG9                        PC5
Z10   18    @PE8
Z10   20    @PE7
Z10   22    GND
Z10   24    @PE10
Z10   26    @PE12
Z10   28    @PE14
Z10   30    @PE15
Z10   32    @PB10
Z10   34    @PB11

M11   01    @PC10
M11   02    @PC11
M11   03    @PC12
M11   04    PD2
M11   05    VDD
M11   06    E5V
M11   07    BOOT0
M11   08    GND
M11   09    PF6
M11   10    NC
M11   11    @PF7
M11   12    IOREF
M11   13    PA13(3)
M11   14    RESET
M11   15    PA14(3)
M11   16    3.3V
M11   17    @PA15
M11   18    5V
M11   19    GND
M11   20    GND
M11   21    PB7
M11   22    GND
M11   23    PC13
M11   24    VIN
M11   25    PC14
M11   26    NC
M11   27    @PC15
M11   28    @PA0
M11   29    PH0
M11   30    PA1
M11   31    PH1
M11   32    @PA4
M11   33    VBAT
M11   34    @PB0
M11   35    @PC2
M11   36    PC1
M11   37    @PC3
M11   38    @PC0
M11   39    @PD4
M11   40    @PD3
M11   41    @PD5
M11   42    PG2
M11   43    @PD6
M11   44    PG3
M11   45    @PD7
M11   46    PE2
M11   47    @PE3
M11   48    @PE4
M11   49    GND
M11   50    @PE5
M11   51    PF1
M11   52    @PF2
M11   53    @PF0
M11   54    PF8
M11   55    @PD1
M11   56    PG1
M11   57    @PD0
M11   58    PG1
M11   59    PG0
M11   60    GND
M11   61    PE1
M11   62    @PE6
M11   63    PG9
M11   64    PG15

M12   01    @PC9
M12   02    @PC8
M12   03    @PB8
M12   04    @PC6
M12   05    @PB9
M12   06    PC5
M12   07    @AVDD
M12   08    U5V
M12   09    GND
M12   10    PD8
M12   11    @PA5
M12   12    PA12
M12   13    @PA6
M12   14    PA11
M12   15    @PA7
M12   16    @PB12
M12   17    @PB6
M12   18    @PB11
M12   19    @PC7
M12   20    GND
M12   21    PA9
M12   22    @PB2
M12   23    PA8
M12   24    @PB1
M12   25    @PB10
M12   26    @PB15
M12   27    @PB4
M12   28    PB14
M12   29    @PB5
M12   30    @PB13
M12   31    PB3
M12   32    @AGND
M12   33    PA10
M12   34    PC4
M12   35    PA2
M12   36    PF5
M12   37    @PA3
M12   38    @PF4
M12   39    GND
M12   40    @PE8
M12   41    @PD13
M12   42    PF10
M12   43    @PD12
M12   44    @PE7
M12   45    @PD11
M12   46    @PD14
M12   47    @PE10
M12   48    @PD15
M12   49    @PE12
M12   50    @PF14
M12   51    @PE14
M12   52    @PE9
M12   53    @PE15
M12   54    GND
M12   55    @PE13
M12   56    @PE11
M12   57    @PF13
M12   58    @PF3
M12   59    @PF12
M12   60    @PF15
M12   61    PG14
M12   62    PF11
M12   63    GND
M12   64    @PE0
