"Connector","Pin Number","Pin_name","Footnote"
"CN-11","01","PC10",""
"CN-11","02","PC11",""
"CN-11","03","PC12",""
"CN-11","04","PD2",""
"CN-11","05","VDD",""
"CN-11","06","E5V",""
"CN-11","07","BOOT0",""
"CN-11","08","GND",""
"CN-11","09","PF6",""
"CN-11","10","NC",""
"CN-11","11","PF7",""
"CN-11","12","IOREF",""
"CN-11","13","PA13","(3)"
"CN-11","14","RESET",""
"CN-11","15","PA14","(3)"
"CN-11","16","3.3V",""
"CN-11","17","PA15",""
"CN-11","18","5V",""
"CN-11","19","GND",""
"CN-11","20","GND",""
"CN-11","21","PB7",""
"CN-11","22","GND",""
"CN-11","23","PC13",""
"CN-11","24","VIN",""
"CN-11","25","PC14",""
"CN-11","26","NC",""
"CN-11","27","PC15",""
"CN-11","28","PA0",""
"CN-11","29","PH0",""
"CN-11","30","PA1",""
"CN-11","31","PH1",""
"CN-11","32","PA4",""
"CN-11","33","VBAT",""
"CN-11","34","PB0",""
"CN-11","35","PC2",""
"CN-11","36","PC1",""
"CN-11","37","PC3",""
"CN-11","38","PC0",""
"CN-11","39","PD4",""
"CN-11","40","PD3",""
"CN-11","41","PD5",""
"CN-11","42","PG2",""
"CN-11","43","PD6",""
"CN-11","44","PG3",""
"CN-11","45","PD7",""
"CN-11","46","PE2",""
"CN-11","47","PE3",""
"CN-11","48","PE4",""
"CN-11","49","GND",""
"CN-11","50","PE5",""
"CN-11","51","PF1",""
"CN-11","52","PF2",""
"CN-11","53","PF0",""
"CN-11","54","PF8",""
"CN-11","55","PD1",""
"CN-11","56","PF9",""
"CN-11","57","PD0",""
"CN-11","58","PG1",""
"CN-11","59","PG0",""
"CN-11","60","GND",""
"CN-11","61","PE1",""
"CN-11","62","PE6",""
"CN-11","63","PG9",""
"CN-11","64","PG15",""
"CN-12","01","PC9",""
"CN-12","02","PC8",""
"CN-12","03","PB8",""
"CN-12","04","PC6",""
"CN-12","05","PB9",""
"CN-12","06","PC5",""
"CN-12","07","AVDD",""
"CN-12","08","U5V",""
"CN-12","09","GND",""
"CN-12","10","PD8",""
"CN-12","11","PA5",""
"CN-12","12","PA12",""
"CN-12","13","PA6",""
"CN-12","14","PA11",""
"CN-12","15","PA7",""
"CN-12","16","PB12",""
"CN-12","17","PB6",""
"CN-12","18","PB11",""
"CN-12","19","PC7",""
"CN-12","20","GND",""
"CN-12","21","PA9",""
"CN-12","22","PB2",""
"CN-12","23","PA8",""
"CN-12","24","PB1",""
"CN-12","25","PB10",""
"CN-12","26","PB15",""
"CN-12","27","PB4",""
"CN-12","28","PB14",""
"CN-12","29","PB5",""
"CN-12","30","PB13",""
"CN-12","31","PB3",""
"CN-12","32","AGND",""
"CN-12","33","PA10",""
"CN-12","34","PC4",""
"CN-12","35","PA2",""
"CN-12","36","PF5",""
"CN-12","37","PA3",""
"CN-12","38","PF4",""
"CN-12","39","GND",""
"CN-12","40","PE8",""
"CN-12","41","PD13",""
"CN-12","42","PF10",""
"CN-12","43","PD12",""
"CN-12","44","PE7",""
"CN-12","45","PD11",""
"CN-12","46","PD14",""
"CN-12","47","PE10",""
"CN-12","48","PD15",""
"CN-12","49","PE12",""
"CN-12","50","PF14",""
"CN-12","51","PE14",""
"CN-12","52","PE9",""
"CN-12","53","PE15",""
"CN-12","54","GND",""
"CN-12","55","PE13",""
"CN-12","56","PE11",""
"CN-12","57","PF13",""
"CN-12","58","PF3",""
"CN-12","59","PF12",""
"CN-12","60","PF15",""
"CN-12","61","PG14",""
"CN-12","62","PF11",""
"CN-12","63","GND",""
"CN-12","64","PE0",""

