"Position","Name","Type","Signal","Label"
"1","PE2","I/O","",""
"2","PE3","I/O","",""
"3","PE4","I/O","",""
"4","PE5","I/O","",""
"5","PE6","I/O","",""
"6","VBAT","Power","",""
"7","PC13","I/O","GPIO_EXTI13","USER_Btn [B1]"
"8","PC14/OSC32_IN","I/O","RCC_OSC32_IN",""
"9","PC15/OSC32_OUT","I/O","RCC_OSC32_OUT",""
"10","PF0","Input","GPIO_Input","PCB_ID0"
"11","PF1","Input","GPIO_Input","PCB_ID1"
"12","PF2","Input","GPIO_Input","PCB_ID2"
"13","PF3","Input","GPIO_Input","PCB_ID3"
"14","PF4","I/O","",""
"15","PF5","I/O","",""
"16","VSS","Power","",""
"17","VDD","Power","",""
"18","PF6","I/O","",""
"19","PF7","I/O","",""
"20","PF8","I/O","",""
"21","PF9","I/O","",""
"22","PF10","Input","GPIO_Input","ESTOPPED"
"23","PH0/OSC_IN","I/O","RCC_OSC_IN","MCO [STM32F103CBT6_PA8]"
"24","PH1/OSC_OUT","I/O","RCC_OSC_OUT",""
"25","NRST","Reset","",""
"26","PC0","I/O","",""
"27","PC1","I/O","ETH_MDC","RMII_MDC [LAN8742A-CZ-TR_MDC]"
"28","PC2","I/O","",""
"29","PC3","I/O","",""
"30","VDD","Power","",""
"31","VSSA","Power","",""
"32","VREF+","Power","",""
"33","VDDA","Power","",""
"34","PA0/WKUP","I/O","UART4_TX",""
"35","PA1","I/O","UART4_RX",""
"36","PA2","I/O","USART2_TX",""
"37","PA3","I/O","USART2_RX",""
"38","VSS","Power","",""
"39","VDD","Power","",""
"40","PA4","I/O","",""
"41","PA5","I/O","",""
"42","PA6","I/O","",""
"43","PA7","I/O","ETH_CRS_DV","RMII_CRS_DV [LAN8742A-CZ-TR_CRS_DV]"
"44","PC4","I/O","ETH_RXD0","RMII_RXD0 [LAN8742A-CZ-TR_RXD0]"
"45","PC5","I/O","ETH_RXD1","RMII_RXD1 [LAN8742A-CZ-TR_RXD1]"
"46","PB0","I/O","",""
"47","PB1","I/O","",""
"48","PB2","I/O","",""
"49","PF11","Input","GPIO_Input","_ESTOP_BUS"
"50","PF12","I/O","",""
"51","VSS","Power","",""
"52","VDD","Power","",""
"53","PF13","I/O","",""
"54","PF14","I/O","",""
"55","PF15","I/O","",""
"56","PG0","Output","GPIO_Output","LED0"
"57","PG1","Output","GPIO_Output","LED1"
"58","PE7","I/O","UART7_RX",""
"59","PE8","I/O","UART7_TX",""
"60","PE9","I/O","",""
"61","VSS","Power","",""
"62","VDD","Power","",""
"63","PE10","I/O","",""
"64","PE11","I/O","",""
"65","PE12","I/O","",""
"66","PE13","I/O","",""
"67","PE14","I/O","",""
"68","PE15","I/O","",""
"69","PB10","I/O","USART3_TX",""
"70","PB11","I/O","USART3_RX",""
"71","VCAP_1","Power","",""
"72","VDD","Power","",""
"73","PB12","I/O","",""
"74","PB13","I/O","ETH_TXD1","RMII_TXD1 [LAN8742A-CZ-TR_TXD1]"
