"Designator","Mid X","Mid Y","Layer","Rotation"
"BT1","108.300000mm","-116.600000mm","T","90"
"C1","153.162000mm","-142.494000mm","T","0"
"C2","126.000000mm","-100.870000mm","T","90"
"C3","125.990000mm","-97.540000mm","T","270"
"C7","101.670000mm","-118.400000mm","T","90"
"C8","90.552000mm","-122.228000mm","T","0"
"C9","101.670000mm","-121.620000mm","T","270"
"C10","84.195000mm","-108.810000mm","T","180"
"C11","126.900000mm","-110.150000mm","T","270"
"C12","125.100000mm","-104.750000mm","T","180"
"C14","135.347000mm","-158.823000mm","T","0"
"C15","125.662000mm","-160.308000mm","T","270"
"C16","108.432000mm","-162.518000mm","T","270"
"C17","123.742000mm","-175.948000mm","T","180"
"C18","148.082000mm","-134.874000mm","T","180"
"C19","121.172000mm","-176.608000mm","T","0"
"C20","93.980000mm","-144.018000mm","T","0"
"C21","85.582000mm","-142.688000mm","T","180"
"C22","57.710000mm","-52.310000mm","T","0"
"C23","48.560000mm","-75.390000mm","T","90"
"C24","62.050000mm","-75.340000mm","T","180"
"C25","86.270000mm","-82.610000mm","T","180"
"CN1","41.148000mm","-119.634000mm","T","90"
"CN2","42.418000mm","-132.878000mm","T","90"
"D1","77.470000mm","-171.704000mm","T","180"
"D2","81.310000mm","-108.222500mm","T","90"
"D3","40.960000mm","-82.820000mm","T","0"
"D4","77.470000mm","-168.910000mm","T","180"
"D5","77.470000mm","-163.322000mm","T","180"
"D6","77.470000mm","-166.116000mm","T","180"
"Q1","46.482000mm","-122.682000mm","T","0"
"Q4","158.496000mm","-146.304000mm","T","0"
"Q5","46.990000mm","-155.194000mm","T","180"
"Q6","154.600000mm","-151.300000mm","T","0"
"Q7","37.870000mm","-146.940000mm","T","180"
"Q8","136.492000mm","-170.238000mm","T","0"
"Q9","43.820000mm","-59.150000mm","T","270"
"Q10","130.572000mm","-169.818000mm","T","0"
"Q11","42.110000mm","-47.640000mm","T","90"
"Q12","114.927000mm","-176.548000mm","T","270"
"Q13","61.780000mm","-34.260000mm","T","90"
"Q14","89.660000mm","-174.740000mm","T","270"
"Q15","138.800000mm","-34.330000mm","T","90"
"Q16","66.802000mm","-162.306000mm","T","270"
"Q17","152.840000mm","-46.630000mm","T","90"
"Q18","61.250000mm","-166.140000mm","T","180"
"Q19","162.220000mm","-52.650000mm","T","0"
"Q20","44.958000mm","-53.440000mm","T","180"
"Q21","48.260000mm","-57.658000mm","T","0"
"Q22","51.686000mm","-48.216000mm","T","0"
"Q23","53.848000mm","-149.860000mm","T","90"
"Q24","53.848000mm","-156.718000mm","T","90"
"Q25","147.320000mm","-161.290000mm","T","180"
"Q27","47.244000mm","-126.492000mm","T","90"
"Q28","51.308000mm","-122.174000mm","T","90"
"R1","58.674000mm","-131.064000mm","T","270"
"R2","61.214000mm","-131.064000mm","T","270"
"R3","63.754000mm","-131.062000mm","T","270"
"R4","152.654000mm","-146.814000mm","T","270"
"R5","74.168000mm","-171.704000mm","T","0"
"R6","87.884000mm","-160.020000mm","T","0"
"R7","81.530000mm","-101.930000mm","T","270"
"R8","89.270000mm","-115.150000mm","T","0"
"R9","81.340000mm","-105.110000mm","T","270"
"R10","84.050000mm","-117.890000mm","T","0"
"R11","84.328000mm","-160.020000mm","T","0"
"R12","83.900000mm","-94.910000mm","T","270"
"R13","83.292000mm","-88.338000mm","T","270"
"R14","82.070000mm","-94.880000mm","T","270"
"R15","74.168000mm","-168.910000mm","T","0"
"R16","74.168000mm","-163.322000mm","T","0"
"R17","74.168000mm","-166.116000mm","T","0"
"R18","116.300000mm","-106.920000mm","T","0"
"R19","116.490000mm","-110.040000mm","T","0"
"R20","56.642000mm","-118.872000mm","T","0"
"R21","128.016000mm","-98.806000mm","T","270"
"R22","61.214000mm","-117.094000mm","T","90"
"R23","153.162000mm","-143.764000mm","T","0"
"R37","162.880000mm","-146.790000mm","T","0"
"R38","41.260000mm","-149.610000mm","T","0"
"R39","153.100000mm","-156.900000mm","T","0"
"R40","34.250000mm","-137.690000mm","T","180"
"R41","140.862000mm","-167.428000mm","T","90"
"R42","35.000000mm","-54.230000mm","T","270"
"R43","126.882000mm","-171.758000mm","T","0"
"R44","49.700000mm","-39.180000mm","T","180"
"R45","110.530000mm","-174.880000mm","T","270"
"R46","67.790000mm","-28.080000mm","T","270"
"R47","83.570000mm","-174.950000mm","T","0"
"R48","142.450000mm","-32.740000mm","T","180"
"R49","67.930000mm","-169.350000mm","T","0"
"R50","158.100000mm","-47.340000mm","T","180"
"R51","53.520000mm","-161.080000mm","T","0"
"R52","165.780000mm","-61.570000mm","T","0"
"R53","55.214000mm","-54.614000mm","T","90"
"R54","60.594000mm","-54.544000mm","T","90"
"R55","42.488000mm","-54.265000mm","T","90"
"R56","48.468000mm","-52.430000mm","T","0"
"R57","54.316000mm","-49.046000mm","T","90"
"R58","40.940000mm","-80.000000mm","T","0"
"R59","47.752000mm","-78.808000mm","T","90"
"R60","61.400000mm","-78.750000mm","T","90"
"R61","45.213000mm","-50.720000mm","T","0"
"R62","48.508000mm","-54.250000mm","T","0"
"R63","113.792000mm","-90.424000mm","T","180"
"R64","51.332000mm","-57.278000mm","T","270"
"R65","53.594000mm","-147.066000mm","T","0"
"R66","53.594000mm","-145.288000mm","T","0"
"R67","53.594000mm","-153.924000mm","T","180"
"R68","143.510000mm","-162.052000mm","T","0"
"R69","47.498000mm","-134.620000mm","T","180"
"R70","47.498000mm","-132.842000mm","T","180"
"R71","54.356000mm","-130.302000mm","T","180"
"R72","54.356000mm","-128.524000mm","T","180"
"SW2","86.700000mm","-164.550000mm","T","0"
"SW3","56.752000mm","-39.898000mm","T","0"
"U1","51.816000mm","-115.570000mm","T","270"
"U2","92.540000mm","-118.770000mm","T","180"
"U3","85.120000mm","-104.110000mm","T","90"
"U4","122.102000mm","-108.518000mm","T","0"
"U5","129.352000mm","-163.798000mm","T","90"
"U6","137.252000mm","-163.798000mm","T","90"
"U7","112.052000mm","-163.673000mm","T","90"
"U8","121.202000mm","-163.648000mm","T","90"
"U9","145.480000mm","-138.600000mm","T","180"
"U10","121.352000mm","-172.698000mm","T","180"
