"BRIDGE_NW_INNER;M1x2+M2x5", "CN", "HR2:BRIDGE_NW_INNER_M1x2+M2x5", "", "", "NW Inner Bridge Connectors"
"Pin", "Unit", "Type",     "Name", "Style", "Side"
"1",   "A",    "input",    "LED1", "line",  "right"
"2",   "A",    "input",    "LED2", "line",  "right"
"3",   "B",    "input",    "LED3", "line",  "right"
"4",   "B",    "power_in", "GND",  "line",  "right"
"5",   "B",    "input",    "TRIG", "line",  "right"
"6",   "B",    "power_in", "5V",   "line",  "right"
"7",   "B",    "output",   "ECHO", "line",  "right"
"8",   "B",    "passive",  "NC1",  "line",  "right"
"9",   "B",    "passive",  "NC2",  "line",  "right"
"10",  "B",    "passive",  "NC3",  "line",  "right"
"11",  "B",    "passive",  "NC4",  "line",  "right"
"12",  "B",    "passive",  "NC5",  "line",  "right"
,,,,,,

