"CD450B;TTSOP16", "U", "Package_SO:TSSOP-16_4.4x5mm_P0.65mm", "", "Hex Level Shifter", "Hex Level Shifter"
"Pin", "Unit", "Type",     "Name",   "Style", "Side"
"1",   "A",    "power_in", "VCC" ,   "line",  "left"
"16",  "A",    "power_in", "VDD",    "line",  "right"
"2",   "A",    "output",   "AOUT",   "line",  "right"
"3",   "A",    "input",    "AIN",    "line",  "left"
"4",   "A",    "output",   "BOUT",   "line",  "right"
"5",   "A",    "input",    "BIN",    "line",  "left"
"6",   "A",    "output",   "COUT",   "line",  "right"
"7",   "A",    "input",    "CIN",    "line",  "left"
"9",   "A",    "input",    "DIN",    "line",  "left"
"10",  "A",    "output",   "DOUT",   "line",  "right"
"11",  "A",    "input",    "EIN",    "line",  "left"
"12",  "A",    "output",   "EOUT",   "line",  "right"
"14",  "A",    "input",    "FIN",    "line",  "left"
"15",  "A",    "output",   "FOUT",   "line",  "right"
"13",  "A",    "input",    "SELECT", "line",  "left"
"8",   "A",    "power_in", "VSS",    "line",  "right"
,,,,,,
