LIDAR_ADAPTER;2xF1x4_F1x3,CN,HR2:LIDAR_ADAPTER_2xF1x4_F1x3,,Lidar Adapter Connectors,Lidar Adapter Connectors
"Pin", "Name", "Type",     "Side",  "Unit", "Style", "Hidden"
"1",   "3.3V", "power_in", "right", "A",    ,
"2",   "5V",   "power_in", "right", "A",    ,
"3",   "GND",  "power_in", "right", "A",    ,
"4",   "ID0",  "output",   "right", "A",    ,
"5",   "ID1",  "output",   "right", "A",    ,
"6",   "ID2",  "output",   "right", "A",    ,
"7",   "TX",   "output",   "left",  "A",    ,
"8",   "RX",   "input",    "left",  "A",    ,
"9",   "SPIN", "passive",  "left",  "A",    ,
"10",  "EN",   "passive",  "left",  "A",    ,
"11",  "PWM",  "input",    "left",  "A",    ,
,,,,,,
