"LIDAR_ADAPTER;2xM1x4+M1x3","CN","HR2:LIDAR_ADAPTER_2xF1x4+F1x3",,"Lidar Adapter Connectors","Lidar Adapter Connectors"
"Pin", "Name", "Type",      "Side",  "Unit", "Style", "Hidden"
"1",   "3.3V", "power_out", "right", "A",    ,
"2",   "5V",   "power_out", "right", "A",    ,
"3",   "GND",  "power_out", "right", "A",    ,
"4",   "ID0",  "input",     "right", "A",    ,
"5",   "ID1",  "input",     "right", "A",    ,
"6",   "ID2",  "input",     "right", "A",    ,
"7",   "TX",   "input",     "left",  "A",    ,
"8",   "RX",   "output",    "left",  "A",    ,
"9",   "SPIN", "passive",   "left",  "A",    ,
"10",  "EN",   "passive",   "left",  "A",    ,
"11",  "PWM",  "output",    "left",  "A",    ,
,,,,,,
