"SN74HCS166;TTSOP16", "U", "Package_SO:TSSOP-16_4.4x5mm_P0.65mm", "", "8-Bit Parallel In Serial Out Shift Register", "8-Bit Parallel In Serial Out Shift Register"
"Pin", "Unit", "Type",     "Name",    "Style",    "Side"
"2",   "A",    "input",    "A",       "line",     "left"
"3",   "A",    "input",    "B",       "line",     "left"
"4",   "A",    "input",    "C",       "line",     "left"
"5",   "A",    "input",    "D",       "line",     "left"
"10",  "A",    "input",    "E",       "line",     "left"
"11",  "A",    "input",    "F",       "line",     "left"
"12",  "A",    "input",    "G",       "line",     "left"
"14",  "A",    "input",    "H",       "line",     "left"
"1",   "A",    "input",    "SER" ,    "line",     "left"
"6",   "A",    "input",    "CLK_INH", "line",     "left"
"7",   "A",    "input",    "CLK",     "line",     "left"
"15",  "A",    "input",    "SH/~LD",  "line",     "left"
"9",   "A",    "input",    "~CLR",    "inverted", "left"
"16",  "A",    "power_in", "VCC",     "line",     "right"
"13",  "A",    "output",   "QH",      "line",     "right"
"8",   "A",    "power_in", "GND",     "line",     "right"
,,,,,,
