"STADAPTER;M2x4RA","CN","HR2:STADAPTER_M2x4RA","ST Adapter Connector,ST Adapter Connector"
"Pin", "Name",  "Type",     "Side", "Unit", "Style", "Hidden"
"1",   "3V3",   "power_out", "right", "1",   ,
"2",   "SWCLK", "in",       "right", "1",   ,
"3",   "GND",   "power_out", "right", "1",   ,
"4",   "SWDIO", "passive",  "right", "1",   ,
"5",   "NRST",  "passive",  "right", "1",   ,
"6",   "SWO",   "passive",  "right", "1",   ,
"7",   "RX",    "out",       "right", "1",   ,
"8",   "TX",    "in",      "right", "1",   ,
,,,,,,

