STLINK;4xF1x2+F1x4+F1x6,CN,HR2:STADAPTER_4xF1x2+F1x4+F1x6,ST Adapter Mating Connector,ST Adapter Mating Connector
"Pin", "Name",           "Type",      "Side",  "Unit", "Style", "Hidden"
"21",  "CN2:GND1",       "power_in",  "right", "1",    ,
"22",  "CN2:GND2",       "power_in",  "right", "1",    ,
"31",  "CN3:GND2",       "power_in",  "right", "2",    ,
"32",  "CN3:GND2",       "power_in",  "right", "2",    ,
"41",  "CN4:SWDIO1",     "passive",   "right", "3",    ,
"42",  "CN4:SWDIO2",     "passive",   "right", "3",    ,  
"43",  "CN4:SWCLK1",     "in",        "right", "3",    ,
"44",  "CN4:SWCLK2",     "out",       "right", "3",    ,
"51",  "CN5:RX",         "in",       "right", "4",    ,
"52",  "CN5:TX",         "out",        "right", "4",    ,
"61",  "CN6:VDD_TARGET", "power_in",  "right", "5",    ,
"62",  "CN6:SWCLK",      "out",       "right", "5",    ,
"63",  "CN6:GND",        "power_in",  "right", "5",    ,
"64",  "CN6:SWDIO",      "passive",   "right", "5",    ,
"65",  "CN6:NRST",       "passive",   "right", "5",    ,
"66",  "CN6:SWO",        "passive",   "right", "5",    ,
"101", "JP1:3V3",        "power_out", "right", "6",    ,
"102", "JP1:PWR_EXT",    "power_in",  "right", "6",    ,
"201", "JP2:GND",        "power_in",  "right", "7",    ,
"202", "JP2:PB10",       "power_in",  "right", "7",    ,
,,,,,,
