ST_ADAPTER;ST_ADAPTER,CN,HR2:ST_Adapter,,ST Link Adpater
Pin,Name,Type,Side,Unit,Style,Hidden
101,JP1.1,passive,right,1,,
102,JP1.2,passive,right,1,,
201,JP2.1,passive,right,1,,
202,JP2.2,passive,right,1,,
21,CN2.1,passive,right,1,,
22,CN2.2,passive,right,1,,
41,CN4.1,passive,right,1,,
42,CN4.2,passive,right,1,,
43,CN4.3,passive,right,1,,
44,CN4.4,passive,right,1,,
51,CN5.1,passive,right,1,,
52,CN5.2,passive,right,1,,
61,CN6.1,passive,right,1,,
62,CN6.2,passive,right,1,,
63,CN6.3,passive,right,1,,
64,CN6.4,passive,right,1,,
65,CN6.5,passive,right,1,,
66,CN6.6,passive,right,1,,
,,,,,,

