"USB-C;USB-C", "CN", "Connector_USB:1USB_C_Receptacle_JAE_DX07S024WJ1R350", "http://www.jae.com/z-en/pdf_download_exec.cfm?param=SJ117219.pdf", "USB-C Connector", "USB-C Connector"
"Pin", "Unit", "Type",      "Name",       "Style", "Side"
"A4",  "A",    "power_out", "A4_VBUS",    "line",  "right"
"A9",  "A",    "power_out", "A9_VBUS",    "line",  "right"
"B9",  "A",    "power_out", "B9_VBUS",    "line",  "right"
"B4",  "A",    "power_out", "B4_VBUS",    "line",  "right"
"A2",  "A",    "passive",   "A2_SSTXP1",  "line",  "right"
"A3",  "A",    "passive",   "A3_SSTXN1",  "line",  "right"
"B11", "A",    "passive",   "B11_SSRXP1", "line",  "right"
"B10", "A",    "passive",   "B10_SSRXN1", "line",  "right"
"B2",  "A",    "passive",   "B2_SSTXP2",  "line",  "right"
"B3",  "A",    "passive",   "B3_SSTXN2",  "line",  "right"
"A11", "A",    "passive",   "A11_SSRXP2", "line",  "right"
"A10", "A",    "passive",   "A10_SSRXN2", "line",  "right"
"A6",  "A",    "passive",   "A6_DP1",     "line",  "right"
"A7",  "A",    "passive",   "A7_DN1",     "line",  "right"
"B6",  "A",    "passive",   "B6_DP2",     "line",  "right"
"B7",  "A",    "passive",   "B7_DN2",     "line",  "right"
"A8",  "A",    "passive",   "A8_SBU1",    "line",  "right"
"B8",  "A",    "passive",   "B8_SBU2",    "line",  "right"
"A5",  "A",    "passive",   "A5_CC1",     "line",  "right"
"B5",  "A",    "passive",   "B5_CC2",     "line",  "right"
"A1",  "A",    "power_out", "A1_GND",     "line",  "right"
"A12", "A",    "power_out", "A12_GND",    "line",  "right"
"B12", "A",    "power_out", "B12_GND",    "line",  "right"
"B1",  "A",    "power_out", "B1_GND",     "line",  "right"
"S1",  "A",    "passive",   "S1_SHLD",    "line",  "right"
,,,,,,
