"STLINK;4xF1x1+F1x4+F1x6", "CN", "HR2:STADAPTER_4xF1x2+F1x4+F1x6", "", "ST-Link Connectors", "ST-Link Connectors"
"Pin", "Name",           "Type",      "Side",  "Unit", "Style", "Hidden"
"21",  "CN2:GND1",       "power_in",  "right", "A",    "line",  ""
"22",  "CN2:GND2",       "power_in",  "right", "A",    "line",  ""
"31",  "CN3:GND1",       "power_in",  "right", "B",    "line",  ""
"32",  "CN3:GND2",       "power_in",  "right", "B",    "line",  ""
"41",  "CN4:SWDIO1",     "passive",   "right", "C",    "line",  ""
"42",  "CN4:SWDIO2",     "passive",   "right", "C",    "line",  ""
"43",  "CN4:SWCLK1",     "in",        "right", "C",    "line",  ""
"44",  "CN4:SWCLK2",     "out",       "right", "C",    "line",  ""
"51",  "CN5:RX",         "in",        "right", "D",    "line",  ""
"52",  "CN5:TX",         "out",       "right", "D",    "line",  ""
"61",  "CN6:VDD_TARGET", "power_in",  "right", "E",    "line",  ""
"62",  "CN6:SLCLK",      "out",       "right", "E",    "line",  ""
"63",  "CN6:GND",        "power_in",  "right", "E",    "line",  ""
"64",  "CN6:SWDIO",      "passive",   "right", "E",    "line",  ""
"65",  "CN6:NRST",       "passive",   "right", "E",    "line",  ""
"66",  "CN6:SWO",        "passive",   "right", "E",    "line",  ""
"101", "JP1:3V3",        "power_out", "right", "F",    "line",  ""
"102", "JP1:PWR_EXT",    "power_in",  "right", "F",    "line",  ""
"201", "JP2:GND",        "power_in",  "right", "G",    "line",  ""
"202", "JP2:PB10",       "power_in",  "right", "G",    "line",  ""
,,,,,,
