"Datasheet","Image","DK Part #","Mfr Part #","Mfr","Supplier","Description","Stock","Price","@ qty","Min Qty","Package","Series","Part Status","Type","Threaded/Unthreaded","Gender","Screw, Thread Size","Diameter - Inside","Diameter - Outside","Between Board Height","Length - Overall","Features","Material","Plating","Color"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23163.jpg","RPC3350-ND","005166859905","Essentra Components","Essentra Components","ROUND SPACER #2 ACETAL 30MM","1,858","0.43","0","1","Bulk","Skiffy","Active","Round Spacer","Unthreaded","Female, Female","#2","0.087"""" (2.20mm)","0.157"""" (4.00mm)","1.181"""" (30.00mm)","1.181"""" (30.00mm)","-","Acetal","-","Black"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23176.jpg","RPC3351-ND","005237000005","Essentra Components","Essentra Components","ROUND SPACER #2 ACETAL 2MM","3,338","0.24","0","1","Bulk","Skiffy","Active","Round Spacer","Unthreaded","Female, Female","#2","0.102"""" (2.59mm)","0.197"""" (5.00mm)","0.079"""" (2.00mm)","0.079"""" (2.00mm)","-","Acetal","-","Natural"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23163.jpg","RPC3360-ND","005249059905","Essentra Components","Essentra Components","ROUND SPACER #2 ACETAL 10MM","2,580","0.32","0","1","Bulk","Skiffy","Active","Round Spacer","Unthreaded","Female, Female","#2","0.102"""" (2.59mm)","0.197"""" (5.00mm)","0.394"""" (10.00mm)","0.394"""" (10.00mm)","-","Acetal","-","Black"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23163.jpg","RPC3364-ND","005255059905","Essentra Components","Essentra Components","ROUND SPACER #2 ACETAL 20MM","1,964","0.35","0","1","Bulk","Skiffy","Active","Round Spacer","Unthreaded","Female, Female","#2","0.102"""" (2.59mm)","0.197"""" (5.00mm)","0.787"""" (20.00mm)","0.787"""" (20.00mm)","-","Acetal","-","Black"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23176.jpg","RPC3355-ND","005243000005","Essentra Components","Essentra Components","ROUND SPACER #2 ACETAL 5MM","3,744","0.26","0","1","Bulk","Skiffy","Active","Round Spacer","Unthreaded","Female, Female","#2","0.102"""" (2.59mm)","0.197"""" (5.00mm)","0.197"""" (5.00mm)","0.197"""" (5.00mm)","-","Acetal","-","Natural"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23176.jpg","RPC3365-ND","005258000005","Essentra Components","Essentra Components","ROUND SPACER #2 ACETAL 25MM","1,988","0.4","0","1","Bulk","Skiffy","Active","Round Spacer","Unthreaded","Female, Female","#2","0.102"""" (2.59mm)","0.197"""" (5.00mm)","0.984"""" (25.00mm)","0.984"""" (25.00mm)","-","Acetal","-","Natural"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23163.jpg","RPC3366-ND","005258059905","Essentra Components","Essentra Components","ROUND SPACER #2 ACETAL 25MM","1,989","0.4","0","1","Bulk","Skiffy","Active","Round Spacer","Unthreaded","Female, Female","#2","0.102"""" (2.59mm)","0.197"""" (5.00mm)","0.984"""" (25.00mm)","0.984"""" (25.00mm)","-","Acetal","-","Black"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23176.jpg","RPC3363-ND","005255000005","Essentra Components","Essentra Components","ROUND SPACER #2 ACETAL 20MM","2,572","0.35","0","1","Bulk","Skiffy","Active","Round Spacer","Unthreaded","Female, Female","#2","0.102"""" (2.59mm)","0.197"""" (5.00mm)","0.787"""" (20.00mm)","0.787"""" (20.00mm)","-","Acetal","-","Natural"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23176.jpg","RPC3359-ND","005249000005","Essentra Components","Essentra Components","ROUND SPACER #2 ACETAL 10MM","10,725","0.32","0","1","Bulk","Skiffy","Active","Round Spacer","Unthreaded","Female, Female","#2","0.102"""" (2.59mm)","0.197"""" (5.00mm)","0.394"""" (10.00mm)","0.394"""" (10.00mm)","-","Acetal","-","Natural"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23163.jpg","RPC3368-ND","005261059905","Essentra Components","Essentra Components","ROUND SPACER #2 ACETAL 30MM","1,958","0.43","0","1","Bulk","Skiffy","Active","Round Spacer","Unthreaded","Female, Female","#2","0.102"""" (2.59mm)","0.197"""" (5.00mm)","1.181"""" (30.00mm)","1.181"""" (30.00mm)","-","Acetal","-","Black"
"-","//media.digikey.com/photos/Essentra%20Components%20Photos/005252059905.jpg","RPC3362-ND","005252059905","Essentra Components","Essentra Components","ROUND SPACER #2 ACETAL 15MM","1,984","0.34","0","1","Bulk","Skiffy","Active","Round Spacer","Unthreaded","Female, Female","#2","0.102"""" (2.59mm)","0.197"""" (5.00mm)","0.591"""" (15.00mm)","0.591"""" (15.00mm)","-","Acetal","-","Black"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23176.jpg","RPC3361-ND","005252000005","Essentra Components","Essentra Components","ROUND SPACER #2 ACETAL 15MM","1,803","0.34","0","1","Bulk","Skiffy","Active","Round Spacer","Unthreaded","Female, Female","#2","0.102"""" (2.59mm)","0.197"""" (5.00mm)","0.591"""" (15.00mm)","0.591"""" (15.00mm)","-","Acetal","-","Natural"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23176.jpg","RPC3353-ND","005240000005","Essentra Components","Essentra Components","ROUND SPACER #2 ACETAL 3MM","2,587","0.26","0","1","Bulk","Skiffy","Active","Round Spacer","Unthreaded","Female, Female","#2","0.102"""" (2.59mm)","0.197"""" (5.00mm)","0.118"""" (3.00mm)","0.118"""" (3.00mm)","-","Acetal","-","Natural"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23163.jpg","RPC3358-ND","005246059905","Essentra Components","Essentra Components","ROUND SPACER #2 ACETAL 7.5MM","76","0.29","0","1","Bulk","Skiffy","Active","Round Spacer","Unthreaded","Female, Female","#2","0.102"""" (2.59mm)","0.197"""" (5.00mm)","0.295"""" (7.50mm)","0.295"""" (7.50mm)","-","Acetal","-","Black"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23176.jpg","RPC3367-ND","005261000005","Essentra Components","Essentra Components","ROUND SPACER #2 ACETAL 30MM","1,878","0.43","0","1","Bulk","Skiffy","Active","Round Spacer","Unthreaded","Female, Female","#2","0.102"""" (2.59mm)","0.197"""" (5.00mm)","1.181"""" (30.00mm)","1.181"""" (30.00mm)","-","Acetal","-","Natural"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23163.jpg","RPC3352-ND","005237059905","Essentra Components","Essentra Components","ROUND SPACER #2 ACETAL 2MM","838","0.24","0","1","Bulk","Skiffy","Active","Round Spacer","Unthreaded","Female, Female","#2","0.102"""" (2.59mm)","0.197"""" (5.00mm)","0.079"""" (2.00mm)","0.079"""" (2.00mm)","-","Acetal","-","Black"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/005240059905.jpg","RPC3354-ND","005240059905","Essentra Components","Essentra Components","ROUND SPACER #2 ACETAL 3MM","463","0.26","0","1","Bulk","Skiffy","Active","Round Spacer","Unthreaded","Female, Female","#2","0.102"""" (2.59mm)","0.197"""" (5.00mm)","0.118"""" (3.00mm)","0.118"""" (3.00mm)","-","Acetal","-","Black"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23176.jpg","RPC3357-ND","005246000005","Essentra Components","Essentra Components","ROUND SPACER #2 ACETAL 7.5MM","3,984","0.29","0","1","Bulk","Skiffy","Active","Round Spacer","Unthreaded","Female, Female","#2","0.102"""" (2.59mm)","0.197"""" (5.00mm)","0.295"""" (7.50mm)","0.295"""" (7.50mm)","-","Acetal","-","Natural"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23163.jpg","RPC3356-ND","005243059905","Essentra Components","Essentra Components","ROUND SPACER #2 ACETAL 5MM","3,267","0.26","0","1","Bulk","Skiffy","Active","Round Spacer","Unthreaded","Female, Female","#2","0.102"""" (2.59mm)","0.197"""" (5.00mm)","0.197"""" (5.00mm)","0.197"""" (5.00mm)","-","Acetal","-","Black"
"https://www.bivar.com/parts_content/Datasheets/99XX-XXX.pdf","//media.digikey.com/photos/Bivar%20Inc%20Photos/9913-625.jpg","492-1050-ND","9913-625","Bivar Inc.","Bivar Inc.","ROUND SPACER #2 NYLON 5/8""","989","0.1","0","1","Bulk","99XX","Active","Round Spacer","Unthreaded","Female, Female","#2","0.091"""" (2.31mm)","0.188"""" (4.78mm) 3/16","0.625"""" (15.88mm) 5/8","0.625"""" (15.88mm) 5/8","-","Nylon","-","Natural"
