"Datasheet","Image","DK Part #","Mfr Part #","Mfr","Supplier","Description","Stock","Price","@ qty","Min Qty","Package","Series","Part Status","Type","Threaded/Unthreaded","Gender","Screw, Thread Size","Diameter - Inside","Diameter - Outside","Between Board Height","Length - Overall","Features","Material","Plating","Color"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4506-440-AL.jpg","1772-3548-ND","4509-256-AL","RAF Electronic Hardware","RAF Electronic Hardware","3/16 HEX X 3/4 LENGTH","1,284","0.86","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.750"""" (19.05mm) 3/4","0.906"""" (23.02mm)","-","Aluminum","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF_catalog_0121.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4500-256-AL-7.jpg","1772-1885-ND","4500-256-AL-7","RAF Electronic Hardware","RAF Electronic Hardware","HEX STANDOFF #2-56 ALUM 3/16""","1,224","1","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.188"""" (4.78mm) 3/16","0.344"""" (8.74mm)","-","Aluminum","Iridite","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF_catalog_0121.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4501-256-SS-xx.JPG","1772-1346-ND","4501-256-SS","RAF Electronic Hardware","RAF Electronic Hardware","HEX STANDOFF #2-56 SS 1/4""","3,629","1.1","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.250"""" (6.35mm) 1/4","0.406"""" (10.30mm)","-","Stainless Steel","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF_catalog_0121.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4505-256-N.jpg","1772-2530-ND","4505-256-N","RAF Electronic Hardware","RAF Electronic Hardware","3/16 HEX X 1/2 LENGTH","389","3.67","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.500"""" (12.70mm) 1/2","0.656"""" (16.67mm)","-","Nylon","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF_catalog_0121.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4502-256-AL.jpg","1772-2723-ND","4502-256-AL","RAF Electronic Hardware","RAF Electronic Hardware","3/16 HEX X 5/16 LENGTH","5,065","0.77","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.313"""" (7.94mm)","-","-","Aluminum","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/photos/RAF%20Electronic%20Hardware/4503-256-SS.JPG","1772-1798-ND","4503-256-SS","RAF Electronic Hardware","RAF Electronic Hardware","HEX STANDOFF #2-56 SS 3/8""","1,090","1.16","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.375"""" (9.53mm) 3/8","0.531"""" (13.50mm)","-","Stainless Steel","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4501-256-SS-xx.JPG","1772-1794-ND","4501-256-SS-20","RAF Electronic Hardware","RAF Electronic Hardware","HEX STANDOFF #2-56 SS 1/4""","2,194","1.74","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.250"""" (6.35mm) 1/4","0.406"""" (10.30mm)","-","Stainless Steel","Passivated","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF_catalog_0116.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4000T-256-AL.jpg","1772-3900-ND","4000T-256-AL","RAF Electronic Hardware","RAF Electronic Hardware","3/16 RD X 7/32 LENGTH","222","2.76","0","1","Bulk","-","Active","Round Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.76mm)","0.219"""" (5.56mm)","0.375"""" (9.53mm) 3/8","-","Aluminum","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4004-440-N.JPG","1772-3372-ND","4001-256-N","RAF Electronic Hardware","RAF Electronic Hardware","3/16 RD X 1/4 LENGTH","204","2.76","0","1","Bulk","-","Active","Round Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.76mm)","0.250"""" (6.35mm) 1/4","0.406"""" (10.32mm)","-","Nylon","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF_catalog_0121.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4509-256-SS.jpg","1772-1881-ND","4509-256-SS","RAF Electronic Hardware","RAF Electronic Hardware","HEX STANDOFF #2-56 SS 3/4""","304","2.82","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.750"""" (19.05mm) 3/4","0.906"""" (23.00mm)","-","Stainless Steel","-","-"
