"Datasheet","Image","DK Part #","Mfr Part #","Mfr","Supplier","Description","Stock","Price","@ qty","Min Qty","Package","Series","Part Status","Type","Thread/Screw/Hole Size","Diameter - Inside","Diameter - Outside","Thickness","Plating","Material"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_19738.jpg","RPC6317-ND","16FW002125","Essentra Components","Essentra Components","WASHER FLAT M2 NYLON NATURAL","4,640","0.19","0","1","Bulk","Micro Plastics, FW","Active","-","#2","0.090"""" (2.29mm)","0.250"""" (6.35mm) 1/4","-","-","Nylon"
"-","//media.digikey.com/photos/Essentra%20Components%20Photos/16FW006062.jpg","RPC6854-ND","16FW002062","Essentra Components","Essentra Components","FLAT WASHER, NYLON, NATURAL, .09","10,471","0.1","0","1","Bulk","MicroPlastics, FW","Active","Flat","#2","0.090"""" (2.29mm)","0.250"""" (6.35mm) 1/4","0.062"""" (1.57mm)","-","Nylon"
"http://keyelco.com/userAssets/file/M65p136.pdf","//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_31yy.jpg","36-3114-ND","3114","Keystone Electronics","Keystone Electronics","WASHER FLAT #2 NYLON","12,948","0.14","0","1","Bulk","-","Active","Flat","#2","0.098"""" (2.49mm)","0.188"""" (4.78mm) 3/16","0.032"""" (0.81mm)","-","Nylon"
"http://keyelco.com/userAssets/file/M65p136.pdf","//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_33xy.jpg","36-3356-ND","3356","Keystone Electronics","Keystone Electronics","WASHER FLAT #2 NYLON","11,770","0.1","0","1","Bulk","-","Active","Flat","#2","0.098"""" (2.49mm)","0.188"""" (4.78mm) 3/16","0.062"""" (1.57mm) 1/16","-","Nylon"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/16FW002062B.jpg","RPC6778-ND","16FW002062B","Essentra Components","Essentra Components","FLAT WASHER, NYLON, BLACK, .090","9,475","0.1","0","1","Bulk","MicroPlastics, FW","Active","Flat","#2","0.090"""" (2.29mm)","0.250"""" (6.35mm) 1/4","0.062"""" (1.57mm)","-","Nylon"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/16FWRT002062.JPG","RPC6824-ND","16FWRT002032","Essentra Components","Essentra Components","RETAINING WASHER, NATURAL, NYLON","22,940","0.1","0","1","Bulk","MicroPlastics, WRT","Active","Flat, Retaining","#2","-","0.203"""" (5.16mm)","0.032"""" (0.81mm)","-","Nylon"
"http://keyelco.com/userAssets/file/M65p136.pdf","//media.digikey.com/Photos/Keystone%20Elect%20Photos/3111.JPG","36-3111-ND","3111","Keystone Electronics","Keystone Electronics","WASHER FLAT #2 FIBRE","33,511","0.1","0","1","Bulk","-","Active","Flat","#2","0.098"""" (2.49mm)","0.188"""" (4.78mm) 3/16","0.032"""" (0.81mm)","-","Fibre"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/16FW002032.jpg","RPC6298-ND","16FW002032","Essentra Components","Essentra Components","WASHER FLAT M2 NYLON NATURAL","700","0.1","0","1","Bulk","Micro Plastics, FW","Active","-","#2","0.090"""" (2.29mm)","0.250"""" (6.35mm) 1/4","-","-","Nylon"
"-","//media.digikey.com/photos/Building%20Fasteners%20Photos/fwss%20002.JPG","H733-ND","FWSS 002","B&F Fastener Supply","B&F Fastener Supply","WASHER FLAT #2 STAINLESS STEEL","17,100","0.0383","0","100","Bulk","-","Active","Flat","#2","0.098"""" (2.49mm)","0.248"""" (6.30mm)","0.020"""" (0.51mm)","-","Stainless Steel"
"-","//media.digikey.com/photos/Essentra%20Components%20Photos/16FW002125B.JPG","RPC6754-ND","16FW002125B","Essentra Components","Essentra Components","FLAT WASHER, NYLON, BLACK, .090","4,820","0.16","0","1","Bulk","MicroPlastics, FW","Active","Flat","#2","0.090"""" (2.29mm)","0.250"""" (6.35mm) 1/4","0.125"""" (3.18mm) 1/8","-","Nylon"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/16FW002093B.jpg","RPC6316-ND","16FW002093B","Essentra Components","Essentra Components","WASHER FLAT M2 NYLON BLACK","4,855","0.17","0","1","Bulk","Micro Plastics, FW","Active","-","#2","0.090"""" (2.29mm)","0.250"""" (6.35mm) 1/4","-","-","Nylon"
"http://keyelco.com/userAssets/file/M65p136.pdf","//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_31xx.jpg","36-3112-ND","3112","Keystone Electronics","Keystone Electronics","WASHER FLAT #2 FIBRE","10,236","0.1","0","1","Bulk","-","Active","Flat","#2","0.098"""" (2.49mm)","0.250"""" (6.35mm) 1/4","0.032"""" (0.81mm)","-","Fibre"
"-","//media.digikey.com/photos/Essentra%20Components%20Photos/16FW006062.jpg","RPC6753-ND","16FW002093","Essentra Components","Essentra Components","FLAT WASHER, NYLON, NATURAL, .09","9,457","0.14","0","1","Bulk","MicroPlastics, FW","Active","Flat","#2","0.090"""" (2.29mm)","0.250"""" (6.35mm) 1/4","0.093"""" (2.36mm)","-","Nylon"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/16FWRT002062.JPG","RPC6825-ND","16FWRT002062","Essentra Components","Essentra Components","RETAINING WASHER, NATURAL, NYLON","24,778","0.1","0","1","Bulk","MicroPlastics, WRT","Active","Flat, Retaining","#2","-","0.206"""" (5.23mm)","0.062"""" (1.57mm)","-","Nylon"
"http://keyelco.com/userAssets/file/M65p136.pdf","//media.digikey.com/photos/Keystone%20Elect%20Photos/3347.JPG","36-3347-ND","3347","Keystone Electronics","Keystone Electronics","WASHER FLAT #2 NYLON","18,812","0.1","0","1","Bulk","-","Active","Flat","#2","0.098"""" (2.49mm)","0.250"""" (6.35mm) 1/4","0.032"""" (0.81mm)","-","Nylon"
"-","//media.digikey.com/photos/Essentra%20Components%20Photos/16FW002032B.JPG","RPC6751-ND","16FW002032B","Essentra Components","Essentra Components","FLAT WASHER, NYLON, BLACK, .090","21,970","0.1","0","1","Bulk","MicroPlastics, FW","Active","Flat","#2","0.090"""" (2.29mm)","0.250"""" (6.35mm) 1/4","0.032"""" (0.81mm)","-","Nylon"
"http://www.fasnetdirect.com/refguide/Washersinternal.pdf","//media.digikey.com/photos/Building%20Fasteners%20Photos/INT%20LWZ%20002.jpg","H232-ND","INT LWZ 002","B&F Fastener Supply","B&F Fastener Supply","WASHER INT TOOTH #2 STEEL","736","0.0815","0","100","Bulk","-","Active","Internal Tooth","#2","-","0.170"""" (4.32mm)","0.013"""" (0.33mm)","Zinc","Steel"
"-","//media.digikey.com/Photos/Essentra%20Components%20Photos/16FWRT002062.JPG","RPC6338-ND","16FWRT004032","Essentra Components","Essentra Components","WASHER FLAT RETAINING #4 NYLON","13,641","0.1","0","1","Bulk","Micro Plastics, FW","Active","Flat, Retaining","#2","0.102"""" (2.59mm)","0.265"""" (6.73mm)","0.810"""" (20.57mm)","-","Nylon"
"http://keyelco.com/userAssets/file/M65p136.pdf","//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_224x.jpg","36-2244-ND","2244","Keystone Electronics","Keystone Electronics","WASHER FLAT RETAINING #2 NYLON","7,138","0.1","0","1","Bulk","-","Active","Flat, Retaining","#2","0.075"""" (1.90mm)","0.203"""" (5.16mm) 13/64","0.032"""" (0.81mm)","-","Nylon"
"http://keyelco.com/userAssets/file/M65p136.pdf","//media.digikey.com/Photos/Keystone%20Elect%20Photos/3366.jpg","36-3366-ND","3366","Keystone Electronics","Keystone Electronics","WASHER FLAT #2 FIBRE","1,566","0.13","0","1","Bulk","-","Active","Flat","#2","0.098"""" (2.49mm)","0.188"""" (4.78mm) 3/16","0.062"""" (1.57mm) 1/16","-","Fibre"
"http://keyelco.com/userAssets/file/M65p136.pdf","//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_31yy.jpg","36-3151-ND","3151","Keystone Electronics","Keystone Electronics","WASHER FLAT #2 NYLON","3,913","0.14","0","1","Bulk","-","Active","Flat","#2","0.098"""" (2.49mm)","0.188"""" (4.78mm) 3/16","0.047"""" (1.19mm) 3/64","-","Nylon"
"http://www.fasnetdirect.com/refguide/Washersinternal.pdf","//media.digikey.com/photos/Building%20Fasteners%20Photos/INT%20LWSS%20002.JPG","H728-ND","INT LWSS 002","B&F Fastener Supply","B&F Fastener Supply","WASHER INT TOOTH #2 STN STEEL","5,800","0.0391","0","100","Bulk","-","Active","Internal Tooth","#2","-","0.170"""" (4.32mm)","0.013"""" (0.33mm)","-","Stainless Steel"
"http://www.keyelco.com/product-pdf.cfm?p=1987","//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_228x.jpg","36-2284-ND","2284","Keystone Electronics","Keystone Electronics","WASHER FLAT RETAINING #2 NYLON","21,714","0.12","0","1","Bulk","-","Active","Flat, Retaining","#2","0.075"""" (1.90mm)","0.203"""" (5.16mm) 13/64","0.062"""" (1.57mm) 1/16","-","Nylon"
